nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,7cbBSKLNtr,class,0.3160517285059536,0.370173248481354,606.82,680.21
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.3083112911102961,0.5547886330967385,591.96,480.83
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.5318164209099053,0.7394040177121232,1021.09,281.44
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.4176449693239578,0.5897158680239735,801.88,443.11
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ndsons1JEx,social networks,0.6179287869365946,0.7477200260281315,1186.42,272.46
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,qlYrXp5pWY,power,0.4282880707429868,0.3868052651133706,822.31,662.25
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WZuDbuOSgL,macro-micro,0.4118396412772147,0.804268882576988,790.73,211.39
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8JFsJYcFYb,identity,0.5560052877713348,0.4200692983774039,1067.53,626.33
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.6508256458681387,0.3535412318493373,1249.59,698.18
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,OruxeroRhC,structure,0.572453717237107,0.5797366580447635,1099.11,453.88
