edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,4,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0e0f5c41-32cc-412f-ae0c-b4bd137eded7,WGBnkFwIuN,qlYrXp5pWY
2,4,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,392314b1-539f-480e-a49d-c7a0b1d10980,WGBnkFwIuN,8JFsJYcFYb
3,4,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,3d78f3a0-8891-47c7-9ad9-d020802c704e,WGBnkFwIuN,OruxeroRhC
4,5,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ad6ebf35-92fe-4e60-a5d7-69237b84b112,ndsons1JEx,OruxeroRhC
5,5,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,af266603-0a4a-4d8b-9724-535d72c186ad,ndsons1JEx,bihlMPLDwN
6,3,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,2cad8a04-7046-4200-b912-b0d66aac9da4,bihlMPLDwN,OruxeroRhC
7,8,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,3f77ca54-96f8-40e5-be21-791bb4132c39,8JFsJYcFYb,OruxeroRhC
8,10,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d124d9b8-48ae-4f48-890b-42218ace40c7,OruxeroRhC,m3bCphZ8J2
9,9,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d4ee0d45-d44d-48ba-8b7e-cdab05b1c648,m3bCphZ8J2,8JFsJYcFYb
10,9,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,2f69f027-6c59-4a9c-930e-f62f64e7f2d1,m3bCphZ8J2,qlYrXp5pWY
11,9,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,786a1447-4b34-4674-8b8d-6241cc4ef1ab,m3bCphZ8J2,ndsons1JEx
12,2,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,eedca39f-9ef0-4e8a-a969-704920f69d90,QUTNIZIDgY,bihlMPLDwN
13,2,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,15bc63fa-28b1-4a7c-9ec0-45c5b48296d6,QUTNIZIDgY,7cbBSKLNtr
14,1,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,92837400-9466-4ab5-beaa-1d695d43193a,7cbBSKLNtr,qlYrXp5pWY
15,6,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,40e81e92-a298-4c5d-943f-b1ca0e1e7e81,qlYrXp5pWY,8JFsJYcFYb
16,7,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fbf8ec81-5b4d-422a-8fb7-9864db51fd54,WZuDbuOSgL,bihlMPLDwN
17,7,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,c68802e9-9be8-4b9b-8a48-bf67d26a6db3,WZuDbuOSgL,QUTNIZIDgY
18,7,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,64c79b36-780e-4e11-bee3-ca1820ca1bd4,WZuDbuOSgL,WGBnkFwIuN
