edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,4e297ced-e3ec-4454-9aaf-e8482c0447f7,ZuysvCGddv,acTsAWfdzn
2,1,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d5b357a4-62d4-46a8-a786-4f25c37abf48,ZuysvCGddv,m3bCphZ8J2
3,1,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,b3225591-d8b4-4d02-936a-a1a2d900cf74,ZuysvCGddv,ndsons1JEx
4,1,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,f75e2aec-bd00-48a2-8218-be4dbe6f926c,ZuysvCGddv,WZuDbuOSgL
5,1,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,dd985d1e-faf6-4e0e-8375-e0efb477c249,ZuysvCGddv,uBiRoP3A3s
6,1,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,2e11ac01-52f2-47da-a9d6-baf01d45078d,ZuysvCGddv,SP780kx1IA
7,1,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,e94ff4eb-b282-47d4-abdf-1ba5a579d5be,ZuysvCGddv,RtJiUdZJi6
8,1,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,aa91e08b-5cfa-48ba-ab63-d72cdaf07f0e,ZuysvCGddv,YfjJV5hkMD
9,1,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,11890aee-e0fa-499e-8b7d-89b3094f9c7b,ZuysvCGddv,KaMS6JqOHq
10,4,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,6d453de8-07d7-4ee6-869c-892c19c6d618,KaMS6JqOHq,YfjJV5hkMD
11,4,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bc4bcf19-306b-4ff1-aacb-7181fb6e7515,KaMS6JqOHq,SP780kx1IA
12,4,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,6b825390-ebce-4772-a6ea-274f390ee905,KaMS6JqOHq,m3bCphZ8J2
13,10,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,201cb481-022f-4d6c-82b3-c724b1b36f7f,YfjJV5hkMD,ndsons1JEx
14,10,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,1fab48e6-ea05-4594-ab88-8050c4558afb,YfjJV5hkMD,RtJiUdZJi6
15,3,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,17e34ee1-94c4-4369-8096-d9bc0a5034ce,RtJiUdZJi6,SP780kx1IA
16,3,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bbcefe4a-44fe-46dd-a813-e30df4ea41cc,RtJiUdZJi6,ndsons1JEx
17,3,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,674ed21e-570d-43eb-934d-dd490a18ba99,RtJiUdZJi6,WZuDbuOSgL
18,3,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,6768568a-af09-48a5-ae33-59764377b93b,RtJiUdZJi6,uBiRoP3A3s
19,7,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,5e7e11e9-1370-4ae5-8f2d-a36299240360,uBiRoP3A3s,SP780kx1IA
20,5,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,028a8e38-e985-4d70-939d-9c8c3c3c1c34,WZuDbuOSgL,m3bCphZ8J2
