nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4770661427635887,0.5317533012747119,915.97,505.71
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RUzI0YhNuM,art,0.3898886705959397,0.7430348828333715,748.59,277.52
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.5830203012442698,0.7735669032898252,1119.40,244.55
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,S941vbbT0r,design,0.5991146037982973,0.4865659109991604,1150.30,554.51
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,SP780kx1IA,development,0.5240078585461689,0.4132890619036715,1006.10,633.65
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,eirRfq6JdI,justice,0.3201466928618206,0.6343408900083963,614.68,394.91
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.4649954158480681,0.409625219448897,892.79,637.60
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,g3wV1SAlU4,music,0.6634918140144074,0.5,1273.90,540.00
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.5508316961362149,0.5464086710938096,1057.60,489.88
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,qlYrXp5pWY,power,0.638679764243615,0.6905198076482711,1226.27,334.24
