edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,1,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0433195c-49f6-48b6-a511-133144813458,ZuysvCGddv,WAhTMmxJoA
2,1,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,a7f14d7c-1a14-4920-bd22-56e1fd362560,ZuysvCGddv,fWLVVobTqz
3,1,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,9fa73689-d123-49bd-b984-2f36231c8c73,ZuysvCGddv,QUTNIZIDgY
4,3,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,df77ade5-9d19-43a7-9b20-4b8f20232041,QUTNIZIDgY,fWLVVobTqz
5,5,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0cb769ab-a733-497f-bb89-04dc8b7fe384,fWLVVobTqz,bihlMPLDwN
6,4,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,7623578f-5e4f-44f2-8b68-c80be83182db,bihlMPLDwN,QUTNIZIDgY
7,4,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,1a3faaaa-730f-4b9a-9805-8505f1e035fb,bihlMPLDwN,jWW9gVNZ5Z
8,5,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fc6c8c83-c4c9-4389-8419-a106050fd38b,fWLVVobTqz,jWW9gVNZ5Z
9,3,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,66d48b45-b392-41e4-8d69-ea0660c1d6b5,QUTNIZIDgY,jWW9gVNZ5Z
10,12,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,126ba371-8b62-4973-8487-0cb977d05e48,WGBnkFwIuN,jWW9gVNZ5Z
11,7,12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,dd8f7533-46aa-438b-aa39-fa586563a7ba,KaMS6JqOHq,WGBnkFwIuN
12,10,12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ae34d741-1b8e-48ee-8f8d-de229d979ac8,WAhTMmxJoA,WGBnkFwIuN
13,7,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,900a5e5e-2dd4-47d6-879d-44951ac15903,KaMS6JqOHq,ZuysvCGddv
14,10,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,c70a3128-c639-4bd3-ac38-4ed14b9fd8e0,WAhTMmxJoA,KaMS6JqOHq
15,2,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,58b9603d-bfa2-4e59-92fa-6ea7a29dbee3,zfLP4gy4BA,KaMS6JqOHq
16,2,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,4bb0340a-79e9-486f-9256-d53d469c5376,zfLP4gy4BA,FXe1ucLJSr
17,11,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,de5c0ab5-c687-421a-8769-5c8a0eb527ba,FXe1ucLJSr,bihlMPLDwN
18,11,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,9ddd5f2b-b354-43fe-b343-c572c6e41ab6,FXe1ucLJSr,QUTNIZIDgY
19,11,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,a4efa8fb-e04f-4a11-a3d4-4e2584189cf7,FXe1ucLJSr,fWLVVobTqz
20,6,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,52403d71-06cd-4d29-ae41-fee465e701ec,RtJiUdZJi6,zfLP4gy4BA
21,6,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d7c2b483-5d8d-4dab-99a4-faf140d73718,RtJiUdZJi6,ZuysvCGddv
22,6,12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,c7544246-79dd-4a6d-b386-108113dc68bf,RtJiUdZJi6,WGBnkFwIuN
23,6,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,213bd187-1b2f-48e5-b83e-9e37c2ed0b38,RtJiUdZJi6,WAhTMmxJoA
24,6,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,4845cfc3-1eb0-4fa1-9793-c4d724ba6850,RtJiUdZJi6,FXe1ucLJSr
25,9,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,c450ef77-37f0-43f6-83e3-a8ffb5e5eed5,WZuDbuOSgL,RtJiUdZJi6
26,9,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,04731303-e3de-487c-bb0d-cb63c942ec85,WZuDbuOSgL,zfLP4gy4BA
27,9,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,e7e85119-afa1-4814-bcb9-ac98ee900a16,WZuDbuOSgL,jWW9gVNZ5Z
28,9,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,20f8352f-af03-498b-8002-45a659b4437a,WZuDbuOSgL,bihlMPLDwN
29,9,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0c17195c-aa0b-45d2-bf65-c1f58ec85c91,WZuDbuOSgL,QUTNIZIDgY
30,11,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,9c588d5f-7589-4496-a77b-83ce9902a724,FXe1ucLJSr,WZuDbuOSgL
