edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,10,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,f861b47f-2786-4371-85a3-fdb98038f5da,ndsons1JEx,WZuDbuOSgL
2,10,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,01f8f549-20fb-4967-b7d8-50039fdc567a,ndsons1JEx,kojNKla2jv
3,10,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,4dc231f6-99d2-4bb2-83f2-80ae52d4114d,ndsons1JEx,RtJiUdZJi6
4,10,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,23aa1c62-a41b-47e0-8b74-c1578b0f9d7d,ndsons1JEx,bihlMPLDwN
5,10,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,50e13f96-9a9b-4c78-88f0-cb0e1a34b7f0,ndsons1JEx,zfLP4gy4BA
6,10,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,19d45ebc-c1c7-4300-81ab-7e4d8e4fd00e,ndsons1JEx,d1Lcl1ZtLG
7,8,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,3e3ecdc8-ce06-488c-8303-af6cbb602cb1,acTsAWfdzn,RtJiUdZJi6
8,8,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,3a8e7842-f6a5-456d-b3e9-a9ec712c2299,acTsAWfdzn,zfLP4gy4BA
9,4,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0755ba1f-e58d-4ac0-8bbd-2ad65fac02a4,bihlMPLDwN,d1Lcl1ZtLG
10,4,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,235ebb41-cfed-4aec-978d-aaf6841bb7e7,bihlMPLDwN,Aq4q5O2VkA
11,4,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,01bbfbe8-6051-4483-b9a3-64afdbcef138,bihlMPLDwN,QUTNIZIDgY
12,4,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0d2e64e2-1e42-4fd9-9093-9bdd814c80b7,bihlMPLDwN,7cbBSKLNtr
13,4,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,a3e4fb7c-ae4b-40cb-a911-bb8e4b6d2008,bihlMPLDwN,RtJiUdZJi6
14,4,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,12c48a85-2124-413a-93e8-2babc13894d8,bihlMPLDwN,WZuDbuOSgL
15,4,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,343706ef-60f0-4dfd-b27e-3bb1a8b8708e,bihlMPLDwN,kojNKla2jv
16,4,12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fda818ed-f7a9-4315-8aed-353a615551ad,bihlMPLDwN,jWW9gVNZ5Z
17,11,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,00612cbd-2157-45e7-8dbb-8274f5549303,zfLP4gy4BA,RtJiUdZJi6
18,11,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,c6f21f6e-4baf-4241-affc-3e4154e7f86c,zfLP4gy4BA,WZuDbuOSgL
19,5,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,cfb91768-e520-4038-8c0e-0dd3cc7ccd82,kojNKla2jv,zfLP4gy4BA
20,5,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,47677d41-8339-4637-bb53-2b8f00d595db,kojNKla2jv,RtJiUdZJi6
21,5,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,e0274689-d940-493c-84e7-871a39d6c9f9,kojNKla2jv,WZuDbuOSgL
22,5,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,21daba16-1f42-4ae8-9dc4-7d65ae377703,kojNKla2jv,Aq4q5O2VkA
23,5,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,88b10037-7483-4644-b234-161ff0d91aeb,kojNKla2jv,QUTNIZIDgY
24,9,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,31297d42-28d4-49d0-952c-27856fb8b1ee,Aq4q5O2VkA,RtJiUdZJi6
