nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.3949567868646305,0.7452377141027693,758.32,275.14
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.6364046196828862,0.6440691531935329,1221.90,384.41
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.5202363227608953,0.4353289578997919,998.85,609.84
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.446587141052182,0.5390587481991356,857.45,497.82
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.637163889597409,0.4045942052185049,1223.35,643.04
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8JFsJYcFYb,identity,0.5263104820770778,0.5838802625260124,1010.52,449.41
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.3577525610530125,0.4174003521690411,686.88,629.21
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,OruxeroRhC,structure,0.3850862779758338,0.1856090923643349,739.37,879.54
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.6151450620762473,0.8105490635505043,1181.08,204.61
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.5893298849824715,0.2137826156555147,1131.51,849.11
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.4663281588297752,0.2970225708340003,895.35,759.22
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.5187177829318496,0.7682887786137346,995.94,250.25
