nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.3773240667011975,0.6699313349802564,724.46,356.47
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.5336714262521937,0.593991324476259,1024.65,438.49
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.4258115389670127,0.5043572137174425,817.56,535.29
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,IAg4KBbKRK,freedom,0.5851275192689771,0.4956427862825575,1123.44,544.71
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8JFsJYcFYb,identity,0.4416441829721769,0.5977260790912097,847.96,434.46
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.3456587786908692,0.534235250637048,663.66,503.03
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WTyHE68aut,social norms,0.2655060184147256,0.523030986792196,509.77,515.13
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.3595123421953878,0.4097434301386917,690.26,637.48
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,YfjJV5hkMD,truth,0.4851839539863784,0.3711509657842012,931.55,679.16
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ndsons1JEx,social networks,0.4277906194676583,0.3437627652745628,821.36,708.74
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.5603890130109082,0.406008675523741,1075.95,641.51
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.2991503869256995,0.3213542375848587,574.37,732.94
