edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,2,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8cf38c3c-1e2a-4225-aa16-8c67eed7e22b,m3bCphZ8J2,vXCsxVu5lG
2,1,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d0a14352-d70b-456c-b1cd-d4fbb55f5a17,ZuysvCGddv,vXCsxVu5lG
3,1,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,e1f51e1c-d48e-4171-af59-7d92af3335a9,ZuysvCGddv,KaMS6JqOHq
4,1,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,6173617e-f0b2-4459-b111-df7d43e25f1a,ZuysvCGddv,m3bCphZ8J2
5,2,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,14f865ef-cd0b-498f-8448-2c4fec1adfef,m3bCphZ8J2,RtJiUdZJi6
6,10,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,7d034a3f-3aba-41d1-8f52-24eb2b31bb5b,WAhTMmxJoA,WGBnkFwIuN
7,10,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,26a1cf3c-0279-4535-8472-fd3a1fec8c50,WAhTMmxJoA,KaMS6JqOHq
8,7,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,0e343017-1933-425f-8e4f-612f8458bf66,N7PLUDZOj9,KaMS6JqOHq
9,7,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,1376d22c-a451-4290-8b1d-c0a1e9152675,N7PLUDZOj9,FXe1ucLJSr
10,9,6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bc924c62-ea9f-4587-9db3-7622f0d23e26,FXe1ucLJSr,zfLP4gy4BA
11,6,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,6f0d730e-4d21-4500-80e9-97aecfe71fe5,zfLP4gy4BA,m3bCphZ8J2
12,6,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fd5bc78a-8df4-4542-818e-33f812daeccf,zfLP4gy4BA,RtJiUdZJi6
