edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,10,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,a59b36b2-f7f7-48fd-986e-777ea7f13648,YfjJV5hkMD,RtJiUdZJi6
2,10,2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,703df09a-6256-4ae0-b363-591e4cee1c00,YfjJV5hkMD,zfLP4gy4BA
3,2,11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8f653a7e-ec30-4f59-9101-a45cd5fb7a61,zfLP4gy4BA,RtJiUdZJi6
4,9,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,9695c722-c7b2-4362-a39e-8eb0b7488ce2,m3bCphZ8J2,ZuysvCGddv
5,7,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ae450ab8-35b8-4162-876a-ed7fae9b977e,uBiRoP3A3s,jWW9gVNZ5Z
6,4,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,a225c193-0697-4326-8c31-7adea352241f,8lkG5LFSea,jWW9gVNZ5Z
7,8,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,e00be9d3-4248-4bc9-b03f-1ae981c57c74,Aq4q5O2VkA,jWW9gVNZ5Z
8,6,4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,847af8e5-37b8-4602-9917-2413f8215344,WTyHE68aut,8lkG5LFSea
9,6,8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,205af007-26db-4372-96bf-e0d494a6a140,WTyHE68aut,Aq4q5O2VkA
10,6,5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d99cf31f-31e1-4068-8762-6c9a6c5a520c,WTyHE68aut,jWW9gVNZ5Z
11,6,7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,93655af2-9bd8-4ae0-9260-fb5108e4bba2,WTyHE68aut,uBiRoP3A3s
12,3,9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,39af3df7-7c1c-458a-bb66-4b3b0732a171,KaMS6JqOHq,m3bCphZ8J2
13,3,1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,702508b1-ed95-4773-aa19-e8ec43e58170,KaMS6JqOHq,ZuysvCGddv
14,6,3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,567d96b6-f58e-48af-855e-6cfe44ca4494,WTyHE68aut,KaMS6JqOHq
15,7,10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,aba000bd-e4e8-478f-8e32-def471f917c9,uBiRoP3A3s,YfjJV5hkMD
